#,Company name,Symbol,Price (USD),Market cap (In millions),Sector,Industry,Market,Provided by GlobeFunder.com
1,Agilent Technologies,A,$152.07,"$46,035.03",Health Technology,Medical Specialties,NYSE,
2,Alcoa,AA,$47.95,"$8,971.59",Non-Energy Minerals,Aluminum,NYSE,
3,American Airlines,AAL,$17.75,"$11,493.38",Transportation,Airlines,NASDAQ,
4,Advance Auto Parts,AAP,$226.73,"$14,137.79",Retail Trade,Specialty Stores,NYSE,
5,Apple,AAPL,$156.81,"$2,572,685.98",Electronic Technology,Telecommunications Equipment,NASDAQ,
6,AbbVie,ABBV,$116.51,"$205,975.70",Health Technology,Pharmaceuticals: Major,NYSE,
7,Ambev,ABEV,$2.95,"$262,724.81",Consumer Non-Durables,Beverages: Alcoholic,NYSE,
8,Airbnb Inc,ABNB,$173.86,"$108,869.17",Technology Services,Internet Software/Services,NASDAQ,
9,Abbott Labs,ABT,$125.88,"$222,591.96",Health Technology,Medical Specialties,NYSE,
10,ACE Convergence Acquisition Corp,ACEV,$9.96,$286.35,Finance,Financial Conglomerates,NASDAQ,
11,Archer Aviation,ACHR,$6.15,"$1,459.58",Finance,Financial Conglomerates,NYSE,
12,Accenture Plc,ACN,$353.60,"$232,223.09",Technology Services,Information Technology Services,NYSE,
13,Adobe,ADBE,$662.10,"$315,027.17",Technology Services,Packaged Software,NASDAQ,
14,Analog Devices,ADI,$178.00,"$95,480.91",Electronic Technology,Semiconductors,NASDAQ,
15,Archer-Daniels-Midland,ADM,$64.40,"$36,028.01",Process Industries,Agricultural Commodities/Milling,NYSE,
16,Automatic Data Processing,ADP,$229.62,"$96,758.19",Technology Services,Data Processing Services,NASDAQ,
17,Autodesk,ADSK,$254.17,"$55,879.38",Technology Services,Packaged Software,NASDAQ,
18,American Eagle Outfitters,AEO,$26.81,"$4,520.75",Retail Trade,Apparel/Footwear Retail,NYSE,
19,American Electric Power,AEP,$82.55,"$41,576.44",Utilities,Electric Utilities,NASDAQ,
20,The AES Corporation,AES,$23.83,"$15,887.79",Utilities,Electric Utilities,NYSE,
21,Aflac,AFL,$55.57,"$36,761.12",Finance,Life/Health Insurance,NYSE,
22,Affirm Holdings,AFRM,$136.98,"$38,492.12",Technology Services,Internet Software/Services,NASDAQ,
23,First Majestic Silver Corp,AG,$11.91,"$3,877.03",Non-Energy Minerals,Precious Metals,NYSE,
24,Agilon Health,AGL,$21.59,"$8,499.02",Health Services,Medical/Nursing Services,NYSE,
25,AGNC Investment,AGNC,$15.91,"$8,351.29",Finance,Real Estate Investment Trusts,NASDAQ,
26,C3.ai Inc,AI,$38.38,"$3,995.68",Technology Services,Packaged Software,NYSE,
27,AIG,AIG,$56.05,"$46,538.18",Finance,Multi-Line Insurance,NYSE,
28,Akamai Technologies,AKAM,$111.94,"$18,188.00",Technology Services,Internet Software/Services,NASDAQ,
29,Air Lease Corporation,AL,$41.11,"$4,686.01",Finance,Finance/Rental/Leasing,NYSE,
30,Albemarle Corporation,ALB,$266.85,"$31,215.13",Process Industries,Chemicals: Specialty,NYSE,
31,Align Technology,ALGN,$634.22,"$50,010.19",Health Technology,Medical Specialties,NASDAQ,
32,Alight,ALIT,$10.39,"$4,642.28",Technology Services,Information Technology Services,NYSE,
33,Allstate,ALL,$115.12,"$33,002.14",Finance,Property/Casualty Insurance,NYSE,
34,Allot Communications,ALLT,$11.47,$417.57,Electronic Technology,Computer Communications,NASDAQ,
35,Ally Financial,ALLY,$48.38,"$16,760.96",Finance,Regional Banks,NYSE,
36,Antero Midstream Partners LP,AM,$10.25,"$4,894.41",Industrial Services,Oil & Gas Pipelines,NYSE,
37,Applied Materials,AMAT,$143.29,"$129,380.63",Producer Manufacturing,Industrial Machinery,NASDAQ,
38,AMC,AMC,$37.63,"$19,340.35",Consumer Services,Movies/Entertainment,NYSE,
39,Advanced Micro Devices,AMD,$154.81,"$186,950.10",Electronic Technology,Semiconductors,NASDAQ,
40,Ametek,AME,$139.09,"$32,175.02",Producer Manufacturing,Electrical Products,NYSE,
41,Amgen,AMGN,$201.09,"$113,267.08",Health Technology,Biotechnology,NASDAQ,
42,American Homes 4 Rent,AMH,$40.48,"$13,536.33",Finance,Real Estate Investment Trusts,NYSE,
43,Ameresco,AMRC,$89.70,"$4,624.88",Industrial Services,Engineering & Construction,NYSE,
44,Amneal Pharmaceuticals,AMRX,$4.25,"$1,281.33",Health Technology,Pharmaceuticals: Major,NYSE,
45,American Tower,AMT,$262.87,"$119,714.54",Finance,Real Estate Investment Trusts,NYSE,
46,Amazon,AMZN,"$3,504.56","$1,777,328.87",Retail Trade,Internet Retail,NASDAQ,
47,Arista Networks,ANET,$124.97,"$38,401.23",Electronic Technology,Computer Communications,NYSE,
48,Abercrombie & Fitch,ANF,$38.05,"$2,248.09",Retail Trade,Apparel/Footwear Retail,NYSE,
49,ANGI Homeservices,ANGI,$9.63,"$4,838.04",Technology Services,Internet Software/Services,NASDAQ,
50,Ansys,ANSS,$382.48,"$33,372.51",Technology Services,Packaged Software,NASDAQ,
